text_input,language,sentiment_score,target_genre
muy alegre,es,0.899,Salsa
muy radiante,es,0.962,Salsa
Mood: detached,en,0.5,Funk
bahut nirash,hi,0.077,Bollywood Sad
Main bechain hoon lekin mujhe anand gaane sunne hain,hi,0.875,Bollywood Dance
Mood: mast,hi,0.8,Bollywood Dance
Mood: harto,es,0.2,Flamenco
muy alegre,es,0.907,Reggaeton
muy frustrado,es,0.147,Flamenco
Mood: tanha,hi,0.2,Old Classics
bahut thaka,hi,0.094,Old Classics
muy triste,es,0.126,Latin Rock
Mood: entusiasmado,es,0.8,Salsa
Mood: triste,es,0.2,Flamenco
really vibrant,en,0.876,EDM
Main nirash hoon par mujhe khush gaane sunne hain,hi,0.778,Sufi
really radiant,en,0.874,EDM
bahut mast,hi,0.963,Bhangra
muy agotado,es,0.037,Flamenco
really blessed,en,0.929,Techno
I am feeling empty yet I want blessed music,en,0.769,Funk
bahut dukh,hi,0.048,Bollywood Sad
muy deprimido,es,0.082,Flamenco
really hyped,en,0.912,Techno
Mood: dukh,hi,0.2,Old Classics
Me siento solo sin embargo quiero música feliz,es,0.883,Reggaeton
bahut tanha,hi,0.107,Old Classics
Mood: saamanay,hi,0.5,Sufi
Me siento dolido pero quiero música entusiasmado,es,0.809,Salsa
I am feeling weary but I want blessed music,en,0.774,Pop
Mood: mellow,en,0.5,Pop
bahut thaka,hi,0.034,Bollywood Sad
Mood: defeated,en,0.2,Emo
Mood: zindadil,hi,0.8,Bhangra
Mood: detached,en,0.5,Pop
Mood: genial,es,0.8,Salsa
muy enojado,es,0.102,Flamenco
Me siento agotado sin embargo quiero música increíble,es,0.827,Salsa
Me siento agotado sin embargo quiero música emocionado,es,0.919,Reggaeton
Mood: alegre,es,0.8,Reggaeton
Mood: shant,hi,0.5,Sufi
muy feliz,es,0.949,Salsa
Me siento enojado aunque quiero música emocionado,es,0.95,Reggaeton
Me siento dolido pero quiero música emocionado,es,0.839,Salsa
Mood: increíble,es,0.8,Salsa
Main pareshan hoon par mujhe anand gaane sunne hain,hi,0.785,Indie-Pop
Mood: agotado,es,0.2,Flamenco
really euphoric,en,0.977,Techno
Mood: deprimido,es,0.2,Latin Rock
muy frustrado,es,0.136,Flamenco
Mood: empty,en,0.2,Emo
bahut anand,hi,0.924,Bollywood Dance
Mood: mellow,en,0.5,Pop
Mood: detached,en,0.5,Pop
really defeated,en,0.034,Emo
Mood: anand,hi,0.8,Bollywood Dance
I am feeling defeated yet I want euphoric music,en,0.904,Techno
Mood: detached,en,0.5,Funk
Mood: thaka,hi,0.2,Old Classics
Mood: entusiasmado,es,0.8,Reggaeton
Mood: triste,es,0.2,Latin Rock
Mood: pareshan,hi,0.2,Bollywood Sad
Mood: gloomy,en,0.2,Emo
Mood: detached,en,0.5,Funk
Mood: radiante,es,0.8,Reggaeton
Main udaas hoon magar mujhe utsahit gaane sunne hain,hi,0.931,Bollywood Dance
Mood: mast,hi,0.8,Bollywood Dance
Mood: khamosh,hi,0.5,Indie-Pop
Mood: shant,hi,0.5,Indie-Pop
Mood: mast,hi,0.8,Bhangra
bahut utsahit,hi,0.943,Bhangra
Mood: khush,hi,0.8,Bhangra
Main dukh hoon par mujhe shandaar gaane sunne hain,hi,0.849,Bollywood Dance
Mood: utsahit,hi,0.8,Bhangra
I am feeling miserable still I want hyped music,en,0.801,Techno
Main nirash hoon lekin mujhe khush gaane sunne hain,hi,0.782,Indie-Pop
Mood: thaka,hi,0.2,Old Classics
Mood: gloomy,en,0.2,Emo
Mood: dolido,es,0.2,Flamenco
Mood: ordinary,en,0.5,Pop
Mood: tranquilo,es,0.5,Merengue
really gloomy,en,0.117,Emo
Me siento agotado aunque quiero música genial,es,0.948,Reggaeton
Me siento harto pero quiero música entusiasmado,es,0.925,Reggaeton
really gloomy,en,0.036,Grunge
really unstoppable,en,0.881,Techno
Me siento dolido sin embargo quiero música entusiasmado,es,0.924,Reggaeton
Mood: dukh,hi,0.2,Bollywood Sad
Me siento harto sin embargo quiero música radiante,es,0.928,Reggaeton
really hyped,en,0.878,Techno
muy deprimido,es,0.066,Latin Rock
muy harto,es,0.08,Latin Rock
Mood: thik-thak,hi,0.5,Sufi
really euphoric,en,0.861,EDM
really miserable,en,0.052,Emo
bahut anand,hi,0.914,Bollywood Dance
